sex,agemos,L,M,S,sigma,P3,P5,P10,P25,P50,P75,P85,P90,P95,P98,P99,P99_9,P99_99,pct120ofP95,Z2neg,Z1_5neg,Z1neg,Z0_5neg,Z0,Z0_5,Z1,Z1_5,Z2,Z2_5,Z3,Z3_5,Z4,Z4_5,Z5
2,226.5,-2.350773286,21.51187918,0.148301619,7.447908,17.3591,17.7395,18.3842,19.6636,21.5119,24.1103,26.0322,27.6724,30.9086,37.1769,40.4535,48.235,53.9244,37.090333,17.177,17.9873,18.9419,20.0906,21.5119,23.338,25.815,29.472,36.4729,42.3591,47.38,51.9873,56.3572,60.5762,64.6923
2,227.5,-2.353444725,21.53170989,0.148502355,7.475373,17.372,17.7529,18.3984,19.6797,21.5317,24.1372,26.0662,27.7137,30.9685,37.2599,40.5486,48.3588,54.0691,37.162194,17.1897,18.001,18.9569,20.1075,21.5317,23.3626,25.8481,29.5229,36.5534,42.4612,47.5006,52.1249,56.511,60.7454,64.8768
2,228.5,-2.355677743,21.55082155,0.148723546,7.502823,17.3838,17.7652,18.4116,19.695,21.5508,24.1638,26.0999,27.755,31.0288,37.3433,40.6441,48.483,54.2143,37.234561,17.2013,18.0137,18.971,20.1236,21.5508,23.3867,25.881,29.574,36.6342,42.5637,47.6216,52.2629,56.6651,60.9151,65.0616
2,229.5,-2.35745607,21.56920824,0.148965902,7.530258,17.3945,17.7763,18.4237,19.7093,21.5692,24.1899,26.1335,27.7963,31.0896,37.4272,40.74,48.6076,54.3598,37.307476,17.2118,18.0252,18.984,20.1388,21.5692,23.4102,25.9137,29.6254,36.7154,42.6666,47.7431,52.4013,56.8196,61.0851,65.2468
2,230.5,-2.358763788,21.58686406,0.149230142,7.557677,17.404,17.7864,18.4348,19.7227,21.5869,24.2156,26.1669,27.8377,31.1508,37.5115,40.8364,48.7326,54.5058,37.380984,17.221,18.0356,18.996,20.153,21.5869,23.4332,25.9461,29.6771,36.7972,42.7701,47.865,52.5402,56.9745,61.2556,65.4325
2,231.5,-2.359585369,21.60378309,0.149516994,7.585081,17.4123,17.7952,18.4447,19.7352,21.6038,24.2408,26.2002,27.8791,31.2126,37.5964,40.9333,48.8581,54.6523,37.455129,17.229,18.0449,19.007,20.1664,21.6038,23.4557,25.9784,29.7291,36.8794,42.874,47.9874,52.6795,57.1299,61.4266,65.6186
2,232.5,-2.359905726,21.61995939,0.149827195,7.61247,17.4193,17.8029,18.4535,19.7466,21.62,24.2657,26.2333,27.9206,31.275,37.6818,41.0307,48.9842,54.7993,37.529957,17.2357,18.053,19.0169,20.1789,21.62,23.4778,26.0105,29.7814,36.9622,42.9784,48.1103,52.8194,57.2859,61.598,65.8052
2,233.5,-2.359710258,21.635387,0.150161492,7.639844,17.4251,17.8093,18.4612,19.7571,21.6354,24.2902,26.2662,27.9622,31.3379,37.7678,41.1288,49.1109,54.9468,37.605512,17.2412,18.0599,19.0257,20.1904,21.6354,23.4993,26.0424,29.8342,37.0457,43.0835,48.2338,52.9599,57.4424,61.77,65.9923
2,234.5,-2.358980464,21.65006126,0.150520734,7.667202,17.4296,17.8146,18.4677,19.7666,21.6501,24.3143,26.2991,28.004,31.4015,37.8544,41.2275,49.2381,55.095,37.681844,17.2454,18.0656,19.0335,20.201,21.6501,23.5203,26.0742,29.8873,37.1297,43.1892,48.3579,53.1009,57.5995,61.9426,66.18
2,235.5,-2.357714508,21.6639727,0.150905439,7.694545,17.4328,17.8185,18.4731,19.775,21.664,24.338,26.3319,28.0459,31.4658,37.9417,41.3268,49.366,55.2438,37.758997,17.2482,18.0701,19.0401,20.2106,21.664,23.5408,26.1058,29.9409,37.2144,43.2955,48.4827,53.2426,57.7572,62.1158,66.3683
2,236.5,-2.355892424,21.67711736,0.151316531,7.721873,17.4346,17.8212,18.4772,19.7825,21.6771,24.3613,26.3646,28.088,31.5309,38.0297,41.4268,49.4946,55.3932,37.837022,17.2497,18.0733,19.0456,20.2192,21.6771,23.5608,26.1374,29.995,37.2999,43.4025,48.6081,53.3849,57.9156,62.2897,66.5573
2,237.5,-2.353501353,21.68948935,0.151754808,7.749186,17.4352,17.8226,18.4801,19.7889,21.6895,24.3843,26.3972,28.1303,31.5966,38.1185,41.5276,49.6239,55.5434,37.915968,17.2498,18.0752,19.05,20.2269,21.6895,23.5803,26.1689,30.0496,37.3861,43.5103,48.7343,53.528,58.0747,62.4643,66.747
2,238.5,-2.350528726,21.70108288,0.152221086,7.776483,17.4343,17.8226,18.4818,19.7942,21.7011,24.4069,26.4298,28.1729,31.6632,38.2081,41.6292,49.754,55.6944,37.995885,17.2485,18.0759,19.0532,20.2336,21.7011,23.5994,26.2002,30.1048,37.4731,43.6189,48.8613,53.6719,58.2346,62.6396,66.9374
2,239.5,-2.346962247,21.71189225,0.152716206,7.803765,17.432,17.8213,18.4822,19.7985,21.7119,24.4291,26.4624,28.2157,31.7307,38.2985,41.7316,49.885,55.8461,38.076824,17.2458,18.0752,19.0552,20.2392,21.7119,23.6179,26.2316,30.1606,37.5609,43.7283,48.9891,53.8165,58.3952,62.8157,67.1286
2,240,-2.34495843,21.71699934,0.152974718,7.8174,17.4303,17.8201,18.482,19.8002,21.717,24.4401,26.4787,28.2373,31.7647,38.344,41.7831,49.9507,55.9223,38.117692,17.2439,18.0744,19.0558,20.2417,21.717,23.627,26.2472,30.1887,37.6051,43.7833,49.0533,53.8892,58.4759,62.9041,67.2245
2,240.5,-2.342796948,21.72190973,0.153240872,7.831031,17.4283,17.8186,18.4814,19.8016,21.7219,24.451,26.495,28.2589,31.799,38.3898,41.8349,50.0167,55.9987,38.158836,17.2416,18.0732,19.0561,20.2439,21.7219,23.636,26.2629,30.2169,37.6496,43.8385,49.1177,53.962,58.5567,62.9927,67.3206
